stn,yyyy,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
380,2006,7,19,39,91,143,174,229,159,183,140,90,59,111
380,2007,66,63,78,136,147,177,173,170,137,99,61,35,112
380,2008,61,53,59,88,161,165,177,176,134,101,66,22,105
380,2009,-3,30,61,125,144,159,186,192,152,105,96,24,106
380,2010,-7,19,61,97,108,174,209,171,137,100,58,-15,93
380,2011,32,49,68,133,150,166,158,175,163,114,77,56,112
380,2012,44,-4,86,85,146,155,173,192,140,104,68,47,103
380,2013,18,8,24,90,115,157,200,185,144,125,58,56,98
380,2014,57,65,87,122,135,164,194,161,159,134,83,42,117
380,2015,33,30,62,97,131,166,194,194,133,97,97,94,111
380,2016,47,44,50,87,145,168,190,185,180,97,60,43,108
380,2017,6,58,93,83,157,194,189,180,140,130,65,45,112
380,2018,57,0,51,131,165,180,223,197,154,123,69,56,117
380,2019,24,66,81,109,117,195,195,192,149,119,64,58,114
380,2020,55,68,69,122,137,177,179,212,162,115,89,55,120
380,2021,28,52,69,67,116,NA,NA,NA,NA,NA,NA,NA,NA
