stn,yyyy,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
380,1978,368,301,972,423,679,599,611,330,416,281,240,1011,6231
380,1979,389,438,923,639,571,478,316,1013,214,454,850,1182,7467
380,1980,368,463,641,407,367,671,1708,876,370,764,475,600,7710
380,1981,1051,375,930,215,841,1402,624,533,700,1052,764,957,9444
380,1982,547,161,586,386,977,700,389,588,372,1405,477,624,7212
380,1983,782,609,668,623,1225,1134,776,422,406,314,531,461,7951
380,1984,1103,961,213,239,1704,500,723,347,1471,1017,646,337,9261
380,1985,724,171,516,600,378,1238,850,624,385,134,580,649,6849
380,1986,857,58,949,456,607,553,346,491,505,897,425,926,7070
380,1987,485,831,878,252,879,1252,612,506,668,512,1021,289,8185
380,1988,733,678,1239,143,862,238,1206,322,585,547,493,768,7814
380,1989,226,520,659,1007,238,552,346,505,458,573,203,1022,6309
380,1990,570,975,222,395,159,798,281,558,746,408,662,881,6655
380,1991,559,296,362,376,204,978,714,226,261,220,1065,938,6199
380,1992,302,266,726,521,275,921,781,1228,311,804,796,671,7602
380,1993,1037,209,69,405,704,282,791,312,1340,832,443,1581,8005
380,1994,889,280,765,350,541,476,99,541,996,645,571,873,7026
380,1995,1174,1025,756,441,563,641,129,105,747,375,458,542,6956
380,1996,78,423,176,46,526,337,388,1872,376,639,747,422,6030
380,1997,42,966,309,536,980,863,636,337,308,786,417,737,6917
380,1998,413,114,866,880,447,1519,481,550,1222,1481,887,482,9342
380,1999,1038,809,814,554,767,684,558,665,595,399,414,1192,8489
380,2000,688,844,599,435,931,384,1821,495,855,824,503,422,8801
380,2001,860,715,1023,822,242,592,669,681,1349,570,929,685,9137
380,2002,694,1389,455,569,560,579,1117,1468,286,739,856,860,9572
380,2003,783,273,454,478,821,417,433,363,326,773,362,701,6184
380,2004,948,549,338,605,451,442,1046,1011,666,460,760,553,7829
380,2005,550,615,321,436,390,437,705,750,277,670,458,428,6037
380,2006,227,732,735,445,1023,385,287,1813,182,469,679,628,7605
380,2007,837,786,568,0,794,1187,1297,1288,680,582,616,666,9301
380,2008,636,403,1194,550,519,1009,1292,1246,532,714,487,456,9038
380,2009,338,578,601,503,325,563,988,384,303,781,948,808,7120
380,2010,420,700,550,247,840,78,485,1455,581,525,1390,693,7964
380,2011,905,568,167,132,192,1014,451,1104,390,333,24,1074,6354
380,2012,1013,207,183,476,402,940,1369,395,300,955,301,1261,7802
380,2013,463,466,350,213,999,740,380,254,664,550,687,592,6358
380,2014,286,254,92,138,498,887,1973,1879,403,624,314,762,8110
380,2015,932,381,496,413,352,430,448,1230,661,417,911,694,7365
380,2016,781,930,362,660,882,1877,302,553,162,348,855,215,7927
380,2017,460,681,567,156,390,214,952,921,1083,363,642,935,7364
380,2018,735,186,606,487,973,293,39,630,405,330,151,1026,5861
380,2019,684,399,1060,208,538,649,668,556,396,937,774,661,7530
380,2020,355,1225,803,213,177,865,545,520,586,945,229,731,7194
380,2021,1248,551,629,365,578,NA,NA,NA,NA,NA,NA,NA,NA
